,0,1,2,3
1387,7.569729983447257e-08,1.4785931340603083e-11,6.4592728952668535e-15,1.618802004209712e-18
1396,8.006629586435584e-08,1.522283094359145e-11,6.790431102787596e-15,1.6806646496839596e-18
1400,8.721712644978932e-08,1.5937914002134914e-11,7.332444925359069e-15,1.7819165836127942e-18
1433,9.112903137430614e-08,1.632910449458668e-11,7.62895685028046e-15,1.837307063672545e-18
1478,6.871617492497894e-08,1.4087818849654668e-11,5.930122308795685e-15,1.5199530118249894e-18
1483,7.315215964784214e-08,1.4531417321940023e-11,6.266358079980089e-15,1.5827641813389996e-18
1491,8.100930978479208e-08,1.5317132335635097e-11,6.861909034427446e-15,1.6940172220914894e-18
1493,8.606762528574336e-08,1.58229638857303e-11,7.245315813218713e-15,1.7656402623487724e-18
1498,9.829348576745717e-08,1.7045549933901863e-11,8.172003321019296e-15,1.9387519034271295e-18
1507,1.046775122921047e-07,1.7683952586366675e-11,8.655895447770343e-15,2.0291463022526622e-18
1509,1.0190591153090796e-07,1.7406792510246995e-11,8.445815526945714e-15,1.9899019188489445e-18
1511,1.1235766673021025e-07,1.845196803017729e-11,9.238030601890284e-15,2.137893178638513e-18
1514,7.57582142943447e-08,1.4792022786590297e-11,6.463890048316519e-15,1.6196645203597727e-18
1521,7.648052391012283e-08,1.48642537481681e-11,6.518639184273613e-15,1.6298920379354103e-18
1522,8.406244478612876e-08,1.562244583576881e-11,7.0933284972619095e-15,1.737247979657034e-18
1530,1.0046434004098263e-07,1.726263536125444e-11,8.33654826569132e-15,1.9694900380879988e-18
1536,9.860455236228137e-08,1.7076656593384296e-11,8.195581336484857e-15,1.943156439925416e-18
1540,9.042932009099988e-08,1.625913336625604e-11,7.57592060745101e-15,1.8273995263899644e-18
1543,9.7680762594672e-08,1.6984277616623335e-11,8.125560544184974e-15,1.930076071233053e-18
1567,4.225574650565748e-08,1.1441776007727341e-11,3.924492643393828e-15,1.1452875071640004e-18
1576,8.862120248294329e-08,1.607832160545034e-11,7.43887013132902e-15,1.801797548773623e-18
1584,1.1883180290246327e-07,1.9099381647402644e-11,9.72875279879413e-15,2.2295634818470026e-18
1604,7.601890298783185e-08,1.4818091655939004e-11,6.483649553673276e-15,1.6233557327376359e-18
1609,1.0159548429045928e-07,1.7375749786202118e-11,8.422285972830882e-15,1.985506435266429e-18
1613,1.0565218114771251e-07,1.7781419471927455e-11,8.729772738786787e-15,2.0429470916003396e-18
1614,8.905205742476176e-08,1.61214070996322e-11,7.471527782940065e-15,1.807898224154017e-18
1615,9.063728731082795e-08,1.627993008823885e-11,7.591683966188415e-15,1.8303442309176178e-18
1616,8.7762991946134e-08,1.5992500551769383e-11,7.373820069232066e-15,1.7896457468910453e-18
1628,9.473330978252915e-08,1.6689532335409018e-11,7.902151508483161e-15,1.8883417169048447e-18
1629,7.679694265564363e-08,1.48958956227202e-11,6.542622878439485e-15,1.6343723580230627e-18
1633,9.967572106748654e-08,1.7183773463904836e-11,8.27677305786472e-15,1.9583236154961817e-18
1646,5.820470004725507e-08,1.3036671361887206e-11,5.133380642041928e-15,1.3711161533519571e-18
1649,9.263313719715148e-08,1.6479515076871237e-11,7.74296404662676e-15,1.8586043971189474e-18
1662,6.76016371752016e-08,1.3976365074677527e-11,5.84564332989437e-15,1.5041717537945028e-18
1667,7.563097317058294e-08,1.477929867421412e-11,6.454245511635859e-15,1.6178628541474029e-18
1673,7.52995387090614e-08,1.474615522806196e-11,6.4291236663795686e-15,1.6131699195576676e-18
1676,8.563370297795558e-08,1.5779571654951528e-11,7.212425663475523e-15,1.759496154707924e-18
1682,6.12566215441117e-08,1.3341863511571999e-11,5.3647081244834845e-15,1.4143297283434067e-18
1684,1.0100628360200382e-07,1.731682971735657e-11,8.377626137361986e-15,1.9771636688611078e-18
1694,8.17626146613586e-08,1.5392462823291763e-11,6.919007528208194e-15,1.7046836159710696e-18
1698,8.263202318999098e-08,1.5479403676155035e-11,6.984906368119211e-15,1.7169939754246372e-18
1700,9.348196264998612e-08,1.65643976221547e-11,7.807302744473138e-15,1.870623311235385e-18
1701,8.407030149302804e-08,1.5623231506458744e-11,7.093924014620128e-15,1.7373592264217783e-18
1708,8.530715093559703e-08,1.574691645071566e-11,7.187673892526303e-15,1.75487235256044e-18
1712,9.159028896025138e-08,1.637523025318121e-11,7.663918940958097e-15,1.843838224222123e-18
1714,9.627445124316581e-08,1.684364648147268e-11,8.018965907065706e-15,1.9101634551607126e-18
1715,8.949845270034729e-08,1.6166046627190764e-11,7.505363350264337e-15,1.814218942343287e-18
1720,1.061904720222779e-07,1.7835248559384004e-11,8.770573746598785e-15,2.050569002288172e-18
1722,8.712245657148449e-08,1.592844701430443e-11,7.325269201922566e-15,1.780576108803799e-18
1723,9.793445069038664e-08,1.7009646426194807e-11,8.144789422964343e-15,1.933668158893212e-18
1727,6.498278273451482e-08,1.3714479630610274e-11,5.647141171412445e-15,1.467090176538802e-18
1746,8.331020473353335e-08,1.554722183050927e-11,7.036310714288676e-15,1.726596663114985e-18
1750,9.987409074714532e-08,1.720361043187071e-11,8.29180894874056e-15,1.9611324239916893e-18
1755,8.353632482321382e-08,1.5569833839477326e-11,7.05345001198335e-15,1.7297984025642384e-18
1757,7.560106691175343e-08,1.477630804833117e-11,6.45197869724649e-15,1.6174393975283589e-18
1758,8.126783415924756e-08,1.5342984773080654e-11,6.881504490193374e-15,1.6976777888702187e-18
1759,8.298269440902402e-08,1.551447079805833e-11,7.011486308116821e-15,1.7219592922051248e-18
